scenario,delta,baseline,value,path
Lexicon OFF,-0.14722161091119945,1.4708535902648576,1.3236319793536582,outputs/ablation/22_rr_lexicon_off.csv
Noise 10%,-0.01823597788288911,1.4708535902648576,1.4526176123819685,outputs/ablation/22_topcats_noise_10.csv
Noise 25%,-0.03968212516388592,1.4708535902648576,1.4311714651009717,outputs/ablation/22_topcats_noise_25.csv
Noise 50%,-0.09988133531951893,1.4708535902648576,1.3709722549453387,outputs/ablation/22_topcats_noise_50.csv
TopK 10,-1.02884656889521,1.4708535902648576,0.44200702136964765,outputs/ablation/22_topk_mass_10.csv
TopK 20,-0.006753167697248541,1.4708535902648576,1.464100422567609,outputs/ablation/22_topk_mass_20.csv
TopK 30,0.0,1.4708535902648576,1.4708535902648576,outputs/ablation/22_topk_mass_30.csv
TopK 50,0.3234467517940156,1.4708535902648576,1.7943003420588732,outputs/ablation/22_topk_mass_50.csv
