Group,HurtLex Category,Count,N,Prevalence (%)
race_ethnicity_middle_eastern_north_african,om,747,5043,14.8
race_ethnicity_middle_eastern_north_african,or,1163,5043,23.1
race_ethnicity_middle_eastern_north_african,pa,23,5043,0.5
race_ethnicity_middle_eastern_north_african,pr,252,5043,5.0
race_ethnicity_middle_eastern_north_african,ps,1799,5043,35.7
race_ethnicity_middle_eastern_north_african,qas,4455,5043,88.3
race_ethnicity_middle_eastern_north_african,rci,0,5043,0.0
race_ethnicity_middle_eastern_north_african,re,1303,5043,25.8
race_ethnicity_middle_eastern_north_african,svp,16,5043,0.3
race_ethnicity_mixed_or_other,an,9286,43807,21.2
race_ethnicity_mixed_or_other,asf,14969,43807,34.2
race_ethnicity_mixed_or_other,asm,37554,43807,85.7
race_ethnicity_mixed_or_other,cds,12632,43807,28.8
race_ethnicity_mixed_or_other,ddf,292,43807,0.7
race_ethnicity_mixed_or_other,ddp,632,43807,1.4
race_ethnicity_mixed_or_other,dmc,3949,43807,9.0
race_ethnicity_mixed_or_other,is,53,43807,0.1
race_ethnicity_mixed_or_other,om,9005,43807,20.6
race_ethnicity_mixed_or_other,or,11229,43807,25.6
race_ethnicity_mixed_or_other,pa,193,43807,0.4
race_ethnicity_mixed_or_other,pr,3599,43807,8.2
race_ethnicity_mixed_or_other,ps,20987,43807,47.9
race_ethnicity_mixed_or_other,qas,19202,43807,43.8
race_ethnicity_mixed_or_other,rci,0,43807,0.0
race_ethnicity_mixed_or_other,re,9561,43807,21.8
race_ethnicity_mixed_or_other,svp,365,43807,0.8
race_ethnicity_white,an,14831,96124,15.4
race_ethnicity_white,asf,66350,96124,69.0
race_ethnicity_white,asm,55938,96124,58.2
race_ethnicity_white,cds,23130,96124,24.1
race_ethnicity_white,ddf,311,96124,0.3
race_ethnicity_white,ddp,1125,96124,1.2
race_ethnicity_white,dmc,14445,96124,15.0
race_ethnicity_white,is,97,96124,0.1
race_ethnicity_white,om,16242,96124,16.9
race_ethnicity_white,or,14341,96124,14.9
race_ethnicity_white,pa,419,96124,0.4
race_ethnicity_white,pr,5083,96124,5.3
race_ethnicity_white,ps,19587,96124,20.4
race_ethnicity_white,qas,29364,96124,30.5
race_ethnicity_white,rci,0,96124,0.0
race_ethnicity_white,re,15527,96124,16.2
race_ethnicity_white,svp,604,96124,0.6
