threshold,accuracy,precision,recall,f1
0.795,0.737,0.97,0.076,0.14
0.8,0.736,0.969,0.072,0.134
0.805,0.735,0.968,0.068,0.127
0.81,0.734,0.967,0.065,0.121
0.815,0.733,0.967,0.06,0.114
0.82,0.732,0.968,0.057,0.107
0.825,0.731,0.969,0.054,0.103
0.83,0.73,0.969,0.05,0.096
0.835,0.73,0.967,0.048,0.091
0.84,0.729,0.969,0.046,0.087
0.845,0.728,0.969,0.043,0.082
0.85,0.728,0.969,0.041,0.079
0.855,0.727,0.969,0.039,0.075
0.86,0.727,0.969,0.037,0.072
0.865,0.726,0.971,0.034,0.066
0.87,0.725,0.972,0.033,0.063
0.875,0.725,0.969,0.03,0.058
0.88,0.724,0.968,0.029,0.056
0.885,0.724,0.967,0.027,0.052
0.89,0.723,0.966,0.025,0.049
0.895,0.723,0.965,0.024,0.046
0.9,0.723,0.965,0.023,0.045
0.905,0.722,0.963,0.022,0.042
0.91,0.722,0.963,0.021,0.041
0.915,0.722,0.964,0.019,0.038
0.92,0.721,0.963,0.018,0.035
0.925,0.721,0.962,0.017,0.033
0.93,0.721,0.96,0.016,0.031
0.935,0.72,0.964,0.014,0.028
0.94,0.72,0.97,0.013,0.025
0.945,0.72,0.971,0.012,0.024
0.95,0.72,0.978,0.012,0.023
0.955,0.719,0.979,0.011,0.022
0.96,0.719,0.981,0.01,0.02
0.965,0.719,0.986,0.009,0.018
0.97,0.719,0.985,0.008,0.017
0.975,0.718,0.982,0.007,0.014
0.98,0.718,0.985,0.006,0.013
0.985,0.718,0.981,0.005,0.01
0.99,0.718,0.977,0.004,0.009
0.995,0.717,0.976,0.003,0.005
1.0,0.717,0.957,0.001,0.003
