Group,N,Accuracy,Precision,Recall,F1
Asian Women,3129,0.941,0.953,0.825,0.884
Black Women,2272,0.941,0.953,0.854,0.901
Latina Women,3455,0.917,0.902,0.848,0.874
Other,92248,0.954,0.932,0.901,0.917
White Women,5944,0.973,0.974,0.93,0.951
