Term,PMI,DF,DF_in_group,P(term),P(group),"P(term,group)",P(term|group)
habit,3.9478010210384493,63,29,0.00011770508710176445,0.029829832074075736,5.418170676112967e-05,0.0018163597644995616
black booty,3.9451096784567756,185,85,0.00034564192244168927,0.029829832074075736,0.00015880845085158697,0.005323813102843543
jdg,3.9403429652219133,107,49,0.00019991181460140948,0.029829832074075736,9.154840107915013e-05,0.0030690216710509833
jdg pornart,3.9403429652219133,107,49,0.00019991181460140948,0.029829832074075736,9.154840107915013e-05,0.0030690216710509833
pornart,3.9403429652219133,107,49,0.00019991181460140948,0.029829832074075736,9.154840107915013e-05,0.0030690216710509833
tits black,3.93983244425355,2191,1003,0.004093521362539141,0.029829832074075736,0.0018739397200487262,0.0628209946135538
black stud,3.9393446497613085,177,81,0.0003306952447144811,0.029829832074075736,0.00015133511198798288,0.005073280721533258
rivera,3.931585279607003,290,132,0.0005418170676112967,0.029829832074075736,0.00024662018249893504,0.008267568583239383
cosplay ebony,3.9250812028555746,192,87,0.0003587202654529964,0.029829832074075736,0.000162545120283389,0.0054490792934986845
ghetto,3.9235093952046616,285,129,0.0005324753940317916,0.029829832074075736,0.00024101517835123197,0.00807966929725667
raw blowjob,3.921669562948383,73,33,0.00013638843426077467,0.029829832074075736,6.165504562473376e-05,0.002066892145809846
butt black,3.9212492347363086,104,47,0.0001943068104537064,0.029829832074075736,8.781173164734808e-05,0.0029437554803958413
south african,3.9182367107619287,102,46,0.00019057014102190435,0.029829832074075736,8.594339693144706e-05,0.00288112238506827
african big,3.9036013857101297,112,50,0.0002092534881809146,0.029829832074075736,9.341673579505115e-05,0.0031316547663785546
ebony homemade,3.900202821969811,119,53,0.00022233183119222175,0.029829832074075736,9.902173994275423e-05,0.003319554052361268
lil black,3.897174948919445,63,28,0.00011770508710176445,0.029829832074075736,5.231337204522865e-05,0.0017537266691719905
don whoe,3.8857703789222535,127,56,0.00023727850891942993,0.029829832074075736,0.0001046267440904573,0.003507453338343981
whoe,3.8857703789222535,127,56,0.00023727850891942993,0.029829832074075736,0.0001046267440904573,0.003507453338343981
ebony solo,3.8812336999786403,273,120,0.0005100553774409793,0.029829832074075736,0.00022420016590812277,0.00751597143930853
compilation perfect,3.8803317358978355,280,123,0.0005231337204522864,0.029829832074075736,0.00022980517005582584,0.0077038707252912435
long black,3.8794730362643914,82,36,0.0001532034467038839,0.029829832074075736,6.726004977243683e-05,0.002254791431792559
cute ebony,3.878654998075818,98,43,0.00018309680215830026,0.029829832074075736,8.0338392783744e-05,0.002693223099085557
black tights,3.876416542318349,105,46,0.0001961751451696074,0.029829832074075736,8.594339693144706e-05,0.00288112238506827
