Comparison Group,Accuracy Disparity,Equal Opportunity Difference,Precision Disparity
Asian Women,0.001,0.027,0.018
Black Women,0.01,0.008,0.004
Latina Women,0.02,0.025,-0.032
Other,0.003,0.009,0.018
