Group,N,Accuracy,Precision,Recall,F1
Asian Women,3039,0.919,0.879,0.814,0.845
Black Women,3193,0.916,0.862,0.861,0.862
Latina Women,2814,0.857,0.805,0.758,0.781
Other,92248,0.924,0.85,0.885,0.867
White Women,5754,0.963,0.932,0.941,0.936
