Group,AdjustedRate,Gap_vs_Priv,threshold
Asian Women,0.6344192168476472,0.1837761859126455,0.17
Black Women,0.6492326965236455,0.19858966558864372,0.17
Latina Women,0.7658137882018479,0.3151707572668461,0.17
Other,0.5365319573324083,0.08588892639740658,0.17
White Women,0.45064303093500174,0.0,0.17
Asian Women,0.6242184929253044,0.18174369278627067,0.175
Black Women,0.6367052928280614,0.1942304926890277,0.175
Latina Women,0.7523098791755508,0.3098350790365171,0.175
Other,0.5277295984736796,0.08525479833464589,0.175
White Women,0.44247480013903373,0.0,0.175
Asian Women,0.6163211582757486,0.1806242517759224,0.18
Black Women,0.6279361102411525,0.19223920374132625,0.18
Latina Women,0.7409381663113006,0.3052412598114744,0.18
Other,0.5220058971468217,0.08630899064699543,0.18
White Women,0.43569690649982623,0.0,0.18
Asian Women,0.6110562685093781,0.18248483993794956,0.185
Black Women,0.6179141872846853,0.18934275871325673,0.185
Latina Women,0.7313432835820896,0.302771855010661,0.185
Other,0.5142550516000347,0.08568362302860616,0.185
White Women,0.42857142857142855,0.0,0.185
Asian Women,0.6048042119118131,0.18075137909985622,0.19
Black Women,0.6097713748825556,0.18571854207059874,0.19
Latina Women,0.7224591329068941,0.29840630009493724,0.19
Other,0.5086289133639754,0.08457608055201854,0.19
White Women,0.4240528328119569,0.0,0.19
Asian Women,0.5923000987166831,0.17328723809798308,0.195
Black Women,0.5975571562793611,0.1785442956606611,0.195
Latina Women,0.7107320540156361,0.2917191933969361,0.195
Other,0.5015176480790912,0.08250478746039114,0.195
White Women,0.4190128606187,0.0,0.195
Asian Women,0.581441263573544,0.16642562228053043,0.2
Black Women,0.5922330097087378,0.17721736841572427,0.2
Latina Women,0.7043354655294953,0.2893198242364818,0.2
Other,0.49672621628653196,0.08171057499351841,0.2
White Women,0.41501564129301355,0.0,0.2
Asian Women,0.571240539651201,0.1624814155636098,0.205
Black Women,0.5844033823989978,0.17564425831140656,0.205
Latina Women,0.693319118692253,0.2845599946046618,0.205
Other,0.4893656231029399,0.08060649901534866,0.205
White Women,0.40875912408759124,0.0,0.205
Asian Women,0.5643303718328397,0.15922088278174484,0.21
Black Women,0.5781396805512058,0.1730301915001109,0.21
Latina Women,0.6879886282871357,0.2828791392360408,0.21
Other,0.48496444367357555,0.07985495462248066,0.21
White Women,0.4051094890510949,0.0,0.21
Asian Women,0.5521553142481079,0.1520857973902699,0.215
Black Women,0.5659254619480113,0.16585594509017326,0.215
