Comparison Group,Accuracy Disparity,Equal Opportunity Difference,Precision Disparity
Asian Women,0.041,0.109,0.085
Black Women,0.073,0.196,0.066
Latina Women,0.107,0.2,0.128
Other,0.038,0.077,0.088
