feature,importance
svd_comp_3,0.08836549912181701
svd_comp_11,0.05639784240252908
svd_comp_12,0.03666913153783895
svd_comp_9,0.030439407053941766
ratings,0.02081714479997581
svd_comp_8,0.020390974648568254
svd_comp_2,0.018768715295213633
svd_comp_5,0.012142059748011297
svd_comp_1,0.009333400912782418
svd_comp_48,0.008229566627659805
svd_comp_130,0.007402639683342002
svd_comp_19,0.006845024802655386
duration,0.006788467121975863
svd_comp_14,0.006309245344663537
svd_comp_16,0.005853447170149754
svd_comp_15,0.005531719156289267
svd_comp_78,0.00549230702759065
svd_comp_4,0.005401138554482555
svd_comp_200,0.005354700696194344
svd_comp_6,0.004833886251774307
svd_comp_76,0.004580592352379765
svd_comp_29,0.004532555146341405
svd_comp_34,0.0044314126124576254
svd_comp_7,0.004391843193931792
svd_comp_57,0.004342814300903907
svd_comp_81,0.004337437169016337
svd_comp_50,0.004323579541385162
svd_comp_182,0.004124720417632283
svd_comp_47,0.004124388869496558
svd_comp_31,0.004051070877721304
svd_comp_192,0.003995975918823953
svd_comp_156,0.0039340764268994645
svd_comp_58,0.003897455173186752
svd_comp_13,0.0037786816324026314
svd_comp_23,0.0037437705331364924
svd_comp_52,0.00371931801269816
svd_comp_53,0.003650940392358127
svd_comp_77,0.003643598065489049
svd_comp_54,0.0035474233159616727
svd_comp_10,0.003511131929912492
svd_comp_143,0.0035073379102122837
svd_comp_51,0.003461900435653958
svd_comp_74,0.0034354629171418397
svd_comp_21,0.003373413467213364
svd_comp_121,0.003356023746593746
svd_comp_119,0.003330860264258282
svd_comp_67,0.0033202087526006444
svd_comp_135,0.003317337722421192
svd_comp_17,0.003309960229958535
svd_comp_125,0.003297667807441276
svd_comp_36,0.0032729012275268922
svd_comp_188,0.0032372716672411437
svd_comp_117,0.0032108792706286994
svd_comp_118,0.003199901400463005
svd_comp_69,0.0031639690803466174
svd_comp_37,0.003152609128387154
svd_comp_40,0.0031090050720183906
svd_comp_161,0.003094908252011477
svd_comp_22,0.00309483566474117
svd_comp_131,0.003093342515537145
svd_comp_49,0.0030692231538057327
svd_comp_93,0.0030612734705482065
svd_comp_18,0.003060684948995684
svd_comp_33,0.0030603962384940313
svd_comp_122,0.003054571587408906
svd_comp_198,0.003027864388610581
svd_comp_195,0.0030224433394793254
svd_comp_98,0.003021885325235056
svd_comp_28,0.0030145959335781247
svd_comp_27,0.003008460622968002
svd_comp_134,0.002992270050009392
svd_comp_120,0.0029917589092660984
svd_comp_94,0.0029838696256188923
svd_comp_194,0.0029574401116616066
svd_comp_128,0.002957374792650607
svd_comp_70,0.002946070317570654
svd_comp_112,0.002941970615178118
svd_comp_193,0.002920292229368558
svd_comp_38,0.0029155495397940887
svd_comp_42,0.002907299026373705
svd_comp_95,0.0029058967856998795
svd_comp_65,0.0028906247471094998
svd_comp_139,0.002890308788741287
svd_comp_25,0.0028871482399934977
svd_comp_202,0.0028695334761646273
svd_comp_64,0.0028645742522990084
svd_comp_66,0.002857077220689197
svd_comp_20,0.002840802708905744
svd_comp_144,0.002809957510337241
svd_comp_80,0.0028041930908068832
svd_comp_85,0.0028033769636602243
svd_comp_45,0.002802844745115425
svd_comp_140,0.0027818530493542715
svd_comp_44,0.002772783390767822
svd_comp_99,0.0027705520145981572
svd_comp_39,0.0027670805074834124
svd_comp_102,0.0027670736464732756
svd_comp_26,0.0027663597319192725
svd_comp_32,0.00276215035979398
svd_comp_186,0.002754785553307184
svd_comp_248,0.002751157048654065
svd_comp_60,0.002747119685577768
svd_comp_126,0.0027406179781667922
svd_comp_56,0.0027396576812899415
svd_comp_24,0.0027349673160446727
svd_comp_72,0.0027071887929393185
svd_comp_155,0.0026975828540988216
svd_comp_207,0.002696218446496123
svd_comp_62,0.00269234528833948
svd_comp_97,0.0026918146026783545
svd_comp_46,0.002680258874445687
svd_comp_90,0.002679296076416772
svd_comp_246,0.00267763132032266
svd_comp_30,0.0026737141610090674
svd_comp_183,0.0026643570498917717
svd_comp_59,0.0026584738168042485
svd_comp_111,0.0026474407570254363
svd_comp_55,0.002646013279575756
svd_comp_103,0.002645838499807752
svd_comp_92,0.002630294581660005
svd_comp_113,0.002617529091824342
svd_comp_109,0.002615434575140172
svd_comp_101,0.0026122514078812634
svd_comp_217,0.0025974995681463764
svd_comp_152,0.002594455728082996
svd_comp_199,0.0025941058068962328
svd_comp_159,0.002590355741940491
svd_comp_68,0.0025761532734200933
svd_comp_71,0.0025604848423337496
svd_comp_214,0.002553544897327522
svd_comp_79,0.0025515319054694994
svd_comp_212,0.0025514605869807086
svd_comp_41,0.002549955798042246
svd_comp_215,0.0025443157665560076
svd_comp_61,0.0025388792890765686
svd_comp_110,0.002532592450419309
svd_comp_197,0.0025309301987303094
svd_comp_153,0.0025263641821846234
svd_comp_174,0.0025250639497599206
svd_comp_209,0.0025238481126910383
svd_comp_208,0.002523105365595024
svd_comp_163,0.002515158194721125
svd_comp_150,0.002506953844110406
svd_comp_167,0.002506589255667447
svd_comp_43,0.00250512633786458
svd_comp_73,0.0024959263086237133
svd_comp_86,0.0024930830790310856
svd_comp_136,0.0024887194094839267
svd_comp_162,0.002478671350504367
svd_comp_100,0.0024770865059938365
svd_comp_116,0.002470255186291758
svd_comp_184,0.0024701815146331908
svd_comp_96,0.002467118751566686
svd_comp_123,0.0024651422765884046
svd_comp_206,0.0024630709480963587
svd_comp_106,0.0024630157054989703
svd_comp_82,0.002458838676361133
svd_comp_124,0.002447166780885216
svd_comp_158,0.002438688247020545
svd_comp_157,0.0024252717921020134
svd_comp_160,0.0024203166377173594
svd_comp_180,0.002419910443862602
svd_comp_137,0.002415420468028057
svd_comp_107,0.0024140846408527666
svd_comp_63,0.002409757894967379
svd_comp_132,0.0024071221467752224
svd_comp_176,0.002405003005925069
svd_comp_35,0.002396781828089134
svd_comp_147,0.0023964657896566486
svd_comp_108,0.002389083104444105
svd_comp_251,0.0023874724082724712
svd_comp_190,0.0023870698015677817
svd_comp_171,0.002383884679535293
svd_comp_218,0.0023812687215692767
svd_comp_129,0.0023745897605616543
svd_comp_240,0.0023738345950261863
svd_comp_104,0.002373674871174166
svd_comp_172,0.002372904561913087
svd_comp_146,0.002372544989552015
svd_comp_114,0.002364300468855572
