metric,slope_bw,slope_bw_lo,slope_bw_hi,slope_others,slope_others_lo,slope_others_hi,slope_gap_bw_minus_others,slope_gap_lo,slope_gap_hi,n_bw,n_others
views_per_day,-2.6626,-3.5265,-1.8269,-4.5348,-4.6818,-4.3862,1.8722,0.9819,2.6865,7136,528100
rating,-6.4555,-6.8456,-6.0884,-3.0755,-3.1016,-3.0492,-3.38,-3.7499,-2.9828,7136,528100
