Group,count,mean,std,min,25%,50%,75%,max
Asian Women,15196.0,60.967,39.434,0.0,0.0,77.841,91.837,100.0
Black Women,15966.0,64.408,38.511,0.0,33.333,82.0,92.593,100.0
Latina Women,14070.0,61.795,41.09,0.0,0.0,82.759,93.902,100.0
White Women,28767.0,72.672,23.42,0.0,69.697,77.778,84.848,100.0
