Comparison Group,Accuracy Disparity,Equal Opportunity Difference,Precision Disparity
Asian Women,0.096,0.105,0.178
Black Women,0.095,0.138,0.135
Latina Women,0.162,0.297,0.175
Other,0.061,0.06,0.115
