category,race_ethnicity,count,share_in_category,global_group_share,repr_ratio,log2_rr
group,latina,236,0.02,0.058,0.344,-1.54
group,unknown,1386,0.117,0.521,0.225,-2.152
group,middle_eastern_north_african,4,0.0,0.004,0.116,-3.11
interracial,mixed_or_other,32363,1.0,0.119,8.387,3.068
lesbian,white,8941,0.292,0.165,1.769,0.823
lesbian,unknown,16569,0.54,0.521,1.037,0.053
lesbian,mixed_or_other,2635,0.086,0.119,0.721,-0.472
lesbian,black,907,0.03,0.046,0.646,-0.63
lesbian,latina,872,0.028,0.058,0.489,-1.033
lesbian,asian,739,0.024,0.088,0.275,-1.86
lesbian,middle_eastern_north_african,6,0.0,0.004,0.063,-3.998
lingerie,white,4561,0.63,0.165,3.821,1.934
lingerie,mixed_or_other,935,0.129,0.119,1.083,0.116
lingerie,asian,478,0.066,0.088,0.755,-0.406
lingerie,latina,289,0.04,0.058,0.687,-0.541
lingerie,black,191,0.026,0.046,0.578,-0.79
lingerie,unknown,782,0.108,0.521,0.207,-2.269
lingerie,middle_eastern_north_african,4,0.001,0.004,0.189,-2.402
massage,unknown,7700,0.572,0.521,1.098,0.135
massage,middle_eastern_north_african,47,0.003,0.004,0.978,-0.033
massage,mixed_or_other,1502,0.112,0.119,0.936,-0.095
massage,white,2053,0.153,0.165,0.926,-0.111
massage,latina,717,0.053,0.058,0.916,-0.127
massage,black,503,0.037,0.046,0.817,-0.292
massage,asian,935,0.069,0.088,0.794,-0.333
masturbation,white,35828,0.287,0.165,1.744,0.803
masturbation,latina,7075,0.057,0.058,0.975,-0.037
masturbation,asian,10228,0.082,0.088,0.937,-0.094
masturbation,black,5278,0.042,0.046,0.924,-0.114
masturbation,unknown,58697,0.471,0.521,0.904,-0.145
masturbation,middle_eastern_north_african,337,0.003,0.004,0.743,-0.428
masturbation,mixed_or_other,7224,0.058,0.119,0.486,-1.041
mature,middle_eastern_north_african,95,0.005,0.004,1.266,0.34
mature,unknown,12947,0.623,0.521,1.196,0.258
mature,latina,1228,0.059,0.058,1.015,0.022
mature,mixed_or_other,2483,0.119,0.119,1.002,0.003
mature,black,835,0.04,0.046,0.878,-0.188
mature,white,2348,0.113,0.165,0.686,-0.544
mature,asian,849,0.041,0.088,0.467,-1.099
pissing,unknown,6246,0.699,0.521,1.342,0.425
pissing,white,1601,0.179,0.165,1.088,0.121
pissing,black,257,0.029,0.046,0.63,-0.667
pissing,middle_eastern_north_african,16,0.002,0.004,0.522,-0.939
pissing,latina,222,0.025,0.058,0.429,-1.222
pissing,asian,291,0.033,0.088,0.373,-1.423
pissing,mixed_or_other,298,0.033,0.119,0.281,-1.833
public,latina,1827,0.082,0.058,1.414,0.5
public,unknown,14242,0.642,0.521,1.232,0.301
public,middle_eastern_north_african,90,0.004,0.004,1.124,0.168
public,black,952,0.043,0.046,0.937,-0.094
public,white,2870,0.129,0.165,0.785,-0.35
public,mixed_or_other,1372,0.062,0.119,0.519,-0.947
public,asian,846,0.038,0.088,0.436,-1.199
solo male,black,650,0.086,0.046,1.877,0.908
solo male,middle_eastern_north_african,44,0.006,0.004,1.63,0.705
solo male,unknown,5587,0.739,0.521,1.418,0.503
solo male,latina,297,0.039,0.058,0.676,-0.565
solo male,asian,377,0.05,0.088,0.57,-0.811
solo male,mixed_or_other,369,0.049,0.119,0.41,-1.286
solo male,white,239,0.032,0.165,0.192,-2.378
squirting,black,1641,0.077,0.046,1.689,0.756
squirting,latina,1721,0.081,0.058,1.394,0.479
squirting,unknown,12845,0.606,0.521,1.162,0.217
squirting,asian,1817,0.086,0.088,0.978,-0.032
squirting,middle_eastern_north_african,55,0.003,0.004,0.724,-0.467
squirting,mixed_or_other,1564,0.074,0.119,0.619,-0.693
squirting,white,1570,0.074,0.165,0.449,-1.154
teens,latina,8856,0.077,0.058,1.322,0.402
teens,unknown,65552,0.569,0.521,1.094,0.129
teens,white,19007,0.165,0.165,1.002,0.003
teens,middle_eastern_north_african,386,0.003,0.004,0.922,-0.117
teens,asian,8999,0.078,0.088,0.893,-0.164
teens,black,3665,0.032,0.046,0.695,-0.525
teens,mixed_or_other,8641,0.075,0.119,0.63,-0.667
tits,middle_eastern_north_african,163,0.012,0.004,3.321,1.732
tits,latina,2016,0.149,0.058,2.558,1.355
tits,unknown,9044,0.668,0.521,1.283,0.359
tits,black,724,0.053,0.046,1.168,0.225
tits,mixed_or_other,664,0.049,0.119,0.412,-1.28
tits,white,738,0.055,0.165,0.331,-1.594
tits,asian,186,0.014,0.088,0.158,-2.665
